ORF	Gene_name	comparison	log2_fc_mrn	DESeq2_adj_pval
C4_06980W	PRA1	Calbicans_air_Ca_12_VS_air_Ca_0	9.95284398620601	7.627034287513119e-109
C4_06980W	PRA1	Calbicans_air_Ca_24_VS_air_Ca_0	10.2046400146555	9.187423433143889e-140
C4_06980W	PRA1	Calbicans_air_Ca_3_VS_air_Ca_0	5.12976181888897	4.18240062030086e-13
C4_06980W	PRA1	Calbicans_air_Ca_45_VS_air_Ca_0	0.354806537457177	0.821452104472568
C4_06980W	PRA1	Calbicans_air_Ca_6_VS_air_Ca_0	8.76768818562426	4.8701431164828305e-93
C4_06970C	ZRT101	Calbicans_air_Ca_12_VS_air_Ca_0	7.41457911770358	1.03652776554147e-55
C4_06970C	ZRT101	Calbicans_air_Ca_24_VS_air_Ca_0	7.7015334616241	1.35422184089799e-59
C4_06970C	ZRT101	Calbicans_air_Ca_3_VS_air_Ca_0	3.18192704896318	1.0563019495617e-5
C4_06970C	ZRT101	Calbicans_air_Ca_45_VS_air_Ca_0	-0.939111335392533	0.266807790013961
C4_06970C	ZRT101	Calbicans_air_Ca_6_VS_air_Ca_0	6.3580171707111	1.51708006464857e-37
C2_02590W	ZRT2	Calbicans_air_Ca_12_VS_air_Ca_0	3.26735771160448	7.49314835016084e-8
C2_02590W	ZRT2	Calbicans_air_Ca_24_VS_air_Ca_0	3.75685573777268	1.3203144328640902e-9
C2_02590W	ZRT2	Calbicans_air_Ca_3_VS_air_Ca_0	1.02532101948668	0.168318348839171
C2_02590W	ZRT2	Calbicans_air_Ca_45_VS_air_Ca_0	-1.00086508010075	0.214443978776183
C2_02590W	ZRT2	Calbicans_air_Ca_6_VS_air_Ca_0	2.50566425571803	7.91158309564777e-5
C2_02180W	ZRT3	Calbicans_air_Ca_12_VS_air_Ca_0	2.783168121912	1.5934912070577e-9
C2_02180W	ZRT3	Calbicans_air_Ca_24_VS_air_Ca_0	4.12571378100453	8.95453496946028e-39
C2_02180W	ZRT3	Calbicans_air_Ca_3_VS_air_Ca_0	-0.860931782576505	0.0605492396570468
C2_02180W	ZRT3	Calbicans_air_Ca_45_VS_air_Ca_0	-2.19627142458052	2.57097142274449e-5
C2_02180W	ZRT3	Calbicans_air_Ca_6_VS_air_Ca_0	1.54791077918743	7.79597570503313e-5
C2_02200W	ZRC1	Calbicans_air_Ca_12_VS_air_Ca_0	1.33298238799778	0.00590650101871357
C2_02200W	ZRC1	Calbicans_air_Ca_24_VS_air_Ca_0	0.32410796290944	0.549372494675408
C2_02200W	ZRC1	Calbicans_air_Ca_3_VS_air_Ca_0	1.70390845274298	1.092854408938e-4
C2_02200W	ZRC1	Calbicans_air_Ca_45_VS_air_Ca_0	1.44436216234379	0.001976093027634
C2_02200W	ZRC1	Calbicans_air_Ca_6_VS_air_Ca_0	1.20470811308883	0.00597320311891647
C4_04850C	ZAP1	Calbicans_air_Ca_12_VS_air_Ca_0	3.55076174443127	1.09367507068167e-16
C4_04850C	ZAP1	Calbicans_air_Ca_24_VS_air_Ca_0	3.73888183779252	4.13201380143921e-19
C4_04850C	ZAP1	Calbicans_air_Ca_3_VS_air_Ca_0	2.38523666209749	5.16839497567872e-7
C4_04850C	ZAP1	Calbicans_air_Ca_45_VS_air_Ca_0	0.715196406770451	0.227907973974401
C4_04850C	ZAP1	Calbicans_air_Ca_6_VS_air_Ca_0	3.39123426514701	2.0179527351564503e-15
